"","ID","Nome da associação
 (nome sem abreviaturas divulgado na página)","Sigla ou Nome Comercial","Unidade da Federação
 (Estado ou Distrito Federal de localização
 a partir do endereço divulgado na página)","Município 
 (de localização
 a partir do endereço divulgado na página)","Página do Instagram
 (link ou ""não encontrado"")","Site ou página web
 (link ou ""não encontrado"")","Distribuição de óleo à base de cannabis (sim, não ou NI)","Distribuição de pomada/gel/creme à base de cannabis (sim, não ou NI)","Distribuição de produtos específicos para pets à base de cannabis (sim, não ou NI)","Possui algum outro produto para distribuição à base de cannabis? (sim, não ou NI)","Se sim, especifique: (se não, NA)...12","Oferece atendimento médico? (sim, não, NI ou MP)","Oferece assistência jurídica? (sim, não ou NI)","Oferece ""acolhimento""? (sim, não ou NI)","Oferece algum outro tipo de serviço? (sim, não ou NI)","Se sim, especifique: (se não, NA)...17","Fonte da informação
 (FACT; Kaya Mind; Lista dos Advogados; Busca livre na internet)","Pesquisador responsável pelo preenchimento
(Daniel, Luiz, Mariana, Mário, Natalia, Ramon, Rebeca)","Observação"
"84",43,"Cultiva Brasil","Cultiva Brasil","São Paulo","Não informado","https://www.instagram.com/cultivabrasil/","Não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FACT","Mário","Sem acesso ao instagram"
"85",45,"Associação Mundo Verde Cannabis","AMVC","São Paulo","Ribeirão Preto","https://www.instagram.com/associacaomundoverdecannabis/","Não encontrado","sim","NI","não","NI","NA","sim","sim","sim","sim","cursos diversos","FACT","Mário",NA
"86",48,"Associação Terapêutica Santa Gaia","Santa Gaia","São Paulo","Lins","https://www.instagram.com/a.santagaia/","https://santagaia.ong.br/","sim","não","não","não","NA","MP","não","sim","não","NA","FACT","Mário","Um habeas corpus em andamento; Uma ação cível no TRF1, em Brasília, com agravo de instrumento aguardando decisão."
"87",49,"Associação Canábica Maria Flor","Maria Flor","São Paulo","Marília","https://www.instagram.com/vemsermariaflor/","https://www.mariaflor.org.br/","sim","sim","não","sim","sabonetes","não","não","sim","sim","cursos diversos","FACT","Mário","possui indicação para uso veterinário, porém sem um produto específico."
"88",52,"Associação Brasileira ABPC Medicinal","ABPC","São Paulo","Não informado","https://www.instagram.com/abpcmedicinaloficial/","Não encontrado","sim","sim","sim","sim","spray dermatológico","não","não","NI","sim","curso medicina veterinária canabinóide","FACT","Mário","1ª associação c@nn@$ica do Brasil 100% direcionado a animais"
"89",54,"Associação Santa Maria Ubatuba","ASMU","São Paulo","Ubatuba","https://www.instagram.com/santamariaubatuba/","https://linktr.ee/associacaosantamariaubatuba?fbclid=PAZXh0bgNhZW0CMTEAAafJggKB-MiSQBVivMv_Uj3DIuokIjExLMC3WEsab9AQyvTyt6bZh6z198ytqw_aem_uqpeyvtW40xI0aQgHNZ61A","NI","NI","não","NI","NA","sim","não","sim","sim","cursos diversos","FACT","Mário",NA
"90",58,"Associação Brasileira das Indústrias de Cannabis e Cânhamo","ABICANN","São Paulo","São Paulo","https://www.instagram.com/abicann_org?igsh=enZrbXhrZ29obHFh","https://abicann.org/sobre-a-abicann/#estatuto","não","não","não","não","NA","não","não","não","sim","cursos diversos","Kaya Mind","Luizinho","é mais uma associação de indústria, não tem ""acolhimento"", distribuição de óleo, nada."
"91",59,"Associação Brasileira de Incentivo à Saúde","ABIN","São Paulo","São Paulo","https://www.instagram.com/abins.saude?igsh=MTB6a2d4NmFjdmI0MA==","https://www.abinssaude.org/sobre","não","não","não","não","NA","sim","sim","sim","sim","assessoria médica e jurídica gratuita para algumas patologias","Kaya Mind","Luizinho","eles ajudam o paciente no atendimento médico e, posteriormente, jurídico para conseguir o óleo gratuito na justiça."
"92",60,"Associação Brasileira de Pacientes de Cannabis Medicinal ABPCM","ABPCM","São Paulo","Bela Vista","https://www.instagram.com/abrapacamed?igsh=eHlucTkwZmRzN2Nh","https://www.abpcm.org.br/blog","NI","NI","não","NI","NA","sim","sim","sim","sim","estudo agronômico","Kaya Mind","Luizinho","pedi para seguir no instagram para melhores informações"
"93",61,"Associação Brasileira de Cannabis Medicinal","ABRACAMED","São Paulo","Oriente","Não encontrado","https://abracamed.com/sobre/","sim","não","não","não","NA","MP","não","sim","não","NA","Busca livre na internet","Luizinho",NA
"94",64,"Associação de Cannabis Medicinal Paulista","ACAMP","São Paulo","São Paulo","https://www.instagram.com/acamp.ong.br?igsh=dmVuMGx6OTYzYWw2","http://acamp.ong.br/?fbclid=PAb21jcAMtvoVleHRuA2FlbQIxMQABp6BHH6wVYmj4s8XeZzEl0PZce1KK6M87FLQAAAZtTzziuaRePI8aMBWzFlWq_aem_xx3UxFqU15O_qFRJMtjEfw","sim","NI","não","NI","NA","MP","não","sim","não","NA","Busca livre na internet","Luizinho","não possui um catálogo de produtos, pela pesquisa no instagram vi apenas o óleo, por isso ""NI"" para outros produtos."
"95",68,"Associação Canábica Livre Medicinal","ACALME BRASIL","São Paulo","São Caetano do Sul","https://www.instagram.com/acalmebrasil?igsh=MXB5MGRkZ3NiMXViMg==","https://acalmebrasil.com.br/","sim","NI","não","NI","NA","MP","sim","sim","NI","NA","Busca livre na internet","Luizinho",NA
"96",69,"Associação Acolhe Cannabis","ACOLHE CANNABIS","São Paulo","Botucatu","https://www.instagram.com/acolhecannabis?igsh=MXY0ZDNsb3VuNmJoeg==","https://acolhecannabis.org.br/","sim","sim","não","sim","Extrato integral (resina)","sim","não","sim","não","NA","Kaya Mind","Luizinho",NA
"97",78,"Associação Médica Brasileira de Endocanabinologia","AMBCAN","São Paulo","São Paulo","https://ambcann.com.br/?fbclid=PAT01DUAMv5gdleHRuA2FlbQIxMAABpzuBY-fuIo-zGtAk0RESL-KzDoQ7VO7FCFWeXKxPWhhMAGj2bQFaw-GKhUp4_aem_ojIYA1LRdhcS7-XWW-wWow","https://www.instagram.com/ambcann.oficial?igsh=eDN5cXk2M25hZnZl","não","não","não","não","NA","MP","não","não","sim","cursos diversos","Kaya Mind","Luizinho","é uma associação somente de médicos, voltada ao ensino, pesquisa, etc. indicam médico associados prescritores"
"98",79,"Associação Medicinal Canábica","AMEC","São Paulo","Bertioga","https://www.instagram.com/associacaomedicinal?igsh=MXkxOThrY21raHVyeA==","https://amec.org.br/","não","não","não","não","NA","MP","não","sim","não","NA","Busca livre na internet","Luizinho","medicina veterinária canábica. no instagram falam explicitamente ""não vendemos produtos"""
"99",85,"Associação Pan-Americana Multidisciplinar de Endocanabinologia","APMC","São Paulo","Santo André","https://www.instagram.com/apmc.pro?igsh=YTdkdmQ5bXgwdDhl","https://apmc.pro/","não","não","não","não","NA","MP","não","não","sim","cursos diversos","Busca livre na internet","Luizinho","é uma associação de médicos e outros profissionais de saúde, voltada ao ensino e pesquisa. indicam médicos associados."
"100",88,"Associação Canábica e Terapêutica Cura da Mata","CURA DA MATA","São Paulo","Marilia","https://www.instagram.com/cura_damata?igsh=MWo0dDAxazUxM242Mw==","Não encontrado","sim","NI","NI","NI","NA","MP","NI","sim","NI","NA","Kaya Mind","Luizinho","Tem apenas o instagram, com poucas informações."
"101",90,"Viva Cannabis Associacao Brasileira de Cannabis Medicinal","VIVA CANNABIS","São Paulo","Batatais","https://www.instagram.com/vivacannabisorg?igsh=eDlhZnY5OGpyZDFq","https://vivacannabis.org.br/","sim","sim","sim","sim","óvulos; shampoo para pet","MP","sim","sim","NI","NA","Kaya Mind","Luizinho",NA
"102",93,"Associacao Cannaberry Saude & Cannabis Medicinal","CANNABERRY","São Paulo","São Paulo","https://www.instagram.com/cannaberrybrasil?igsh=Nzg0NjcxODVhd3M3","https://cannaberry.com.br/","sim","NI","NI","NI","NA","MP","não","sim","NI","NA","Kaya Mind","Luizinho",NA
"103",94,"Cannarinho Associação Canábica Brasileira","CANNARINHO","São Paulo","São Paulo","https://www.instagram.com/cannarinho_org?igsh=Z2xjMnN5OTJvNWti","https://cannarinho.org/","sim","sim","NI","NI","NA","NI","NI","NI","NI","NA","Busca livre na internet","Luizinho","Site fora do ar. Conferir informações ""NI"""
"104",95,"Instituto CuraPro Acolhe Vidas","CURAPRO","São Paulo","Mirandópolis","https://www.instagram.com/curapro_?igsh=MTZ0cWpwMm9oYnB0cg==","https://curapro.com.br/","sim","sim","não","sim","spray nasal","MP","sim","sim","sim","cursos diversos","Busca livre na internet","Luizinho","Falam em ""cultivo legalizado"""
"105",97,"Associação Canábica para Orientação, Pesquisa e Apoio Social","EMANACAN","São Paulo","Marilia","https://www.instagram.com/emanacan.br?igsh=MXF5Yzlxb2toNXRrbg==","https://www.emanacan.com.br/","sim","não","não","não","NA","sim","não","sim","NI","NA","Busca livre na internet","Luizinho",NA
"106",99,"Hubcann","HUBCANN","São Paulo","Não informado","https://www.instagram.com/hub.cann?igsh=YzZwdTM0a2duMDlr","https://hubcann.com.br/?fbclid=PAb21jcAMwSGxleHRuA2FlbQIxMQABp5YwvOXzCXXNHrAsenDu1StIne8ZYE8g2iJsWAMk5PTzfbMftmN-jHxFJ6Rp_aem_9q-uIKzb2Ns9KAu7Q2jLzA","NI","NI","não","NI","NA","sim","não","não","não","NA","Kaya Mind","Luizinho","Eles não deixam explicito o fornecimento do óleo, fala-se em importação, mas no instagram parece que tem o óleo deles também."
"107",100,"Instituto do Brasil de Apoio a Pacientes da Cannabis Terapêutica","IBRACAN","São Paulo","Bertioga","https://www.instagram.com/ibracanapoio?igsh=MXZnNTM2emNxNWls","https://ibracan.org.br/","sim","NI","não","NI","NA","sim","sim","sim","sim","cursos diversos","Busca livre na internet","Luizinho",NA
"108",104,"Associacao Sagrada Cannabis Medicinal","Sagrada Cannabis","São Paulo","São Paulo","https://www.instagram.com/associacao_sagrada?igsh=ZjRoMmlwYWpiajVx","https://sagradamedicinal.org/","sim","NI","não","NI","NA","sim","não","sim","sim","acolhimento ao prescritor","Busca livre na internet","Luizinho","auxílio a profissionais de saúde que querem se tornar prescritores"
"109",106,"Associacao Santa Guia - Plantas Que Curam","Santa Guia","São Paulo","Osasco","https://www.instagram.com/associacaosantaguia?igsh=MWt5Z3Y3dWYyMDVpbA==","https://www.santaguia.org.br/","sim","sim","não","sim","sabonetes","MP","sim","sim","sim","cursos diversos","Kaya Mind","Luizinho","guia do paciente: https://online.fliphtml5.com/wtjyh/thsc/#p=7"
"110",107,"Associacao Brasileira de Estudo da Cannabis Sativa","SBEC","São Paulo","São Paulo","https://www.instagram.com/sbecmed?igsh=MWZqcjFtYXV4N2R1Mw==","https://sbec.med.br/","não","não","não","não","NA","MP","não","não","sim","cursos diversos","Kaya Mind","Luizinho","fomento de pesquisa canábica"
"111",109,"Casa da Mata","Casa da Mata","São Paulo","São Vicente","https://www.instagram.com/casadamatasv","https://casadamata.org.br/","NI","NI","NI","NI","NA","sim","sim","sim","sim","cursos diversos","Busca livre na internet","Luizinho","não falam explicitamente sobre o acesso ao remédio"
"112",105,"Associacao Brasileira de Apoio Ao Cultivo e Pesquisa de Cannabis Medicinal","Salvar","Sergipe","Aracaju","https://www.instagram.com/salvar_se?igsh=MWMwNXR5enlhZDgyaQ==","https://salvar-se.org.br/","sim","sim","não","não","NA","sim","sim","sim","sim","capacitação/curso de cultivo","Kaya Mind","Luizinho",NA
"113",NA,"Associacao Agrobuds De Cannabis Medicinal","AGROBUDS","Espírito Santo","Montanha","https://www.instagram.com/agrobuds/","Não encontrado","NI","NI","NI","NI","NA","NI","NI","Sim","Sim","Capacitação/curso de cultivo","IPEA, busca livre na internet","Mariana","Vendem curso para pacientes que buscam HC, mas não deixam explícito se oferecem assistência jurídica"
"114",NA,"ASSOCIACAO E CLUBE DE PACIENTES DE CANNABIS MEDICINAL FLOR DAS MONTANHAS","Flor das Montanhas","Espírito Santo","Vitória","https://www.instagram.com/flor_montanhas/","Não encontrado","NI","NI","Sim","NI","NA","NA","NI","NI","NI","NA","IPEA, busca livre na internet","Mariana","CNPJ: 52.478.421/0001-26"
"115",NA,"ASSOCIACAO DE PACIENTES E ATIVISTAS DA CANNABIS MEDICINAL","AMACANNABIS","Rio de Janeiro","Armação dos Búzios","Não encontrado","Não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"116",NA,"ASSOCIACAO SANNTIVA - ASSOCIACAO DE PESQUISA E APOIO A CANNABIS MEDICINAL","SANTIVVA","Rio de Janeiro","Cordeiro","não encontrado","não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"117",NA,"PLANTAE - ASSOCIACAO DE APOIO E ACESSO A CANNABIS MEDICINAL","PLANTAE","Rio de Janeiro","Rio das Ostras","https://www.instagram.com/plantaecannabismedicinal/","nao encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"118",NA,"ASSOCIACAO DE APOIO AO PACIENTE E A PESQUISA CIENTIFICA COM CANNABIS E OUTRAS PLANTAS MEDICINAIS","Não encontrado","Rio de Janeiro","Rio das Ostras","não encontrado","não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"119",NA,"INSTITUTO AGRONOMICO DE PESQUISAS EM CANNABIS MEDICINAL","IAPEC","Rio de Janeiro","Niterói","não encontrado","não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"120",NA,"ASSOCIACAO DA LUZ CANNABIS MEDICINAL","ASSOCIACAO DA LUZ CANNABIS MEDICINAL","Rio de Janeiro","Rio de Janeiro","não encontrado","não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"121",NA,"ASSOCIACAO DE APOIO A PACIENTES E PESQUISA DE CANNABIS MEDICINAL - SANTA KAYA","Santa Kaya","Rio de Janeiro","Rio de Janeiro","não encontrado","não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"122",NA,"INSTITUTO BROWN CANNABIS","IBC","Rio de Janeiro","Rio de Janeiro","não encontrado","não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel","Seria uma organização do mano brown? Não encontrei divulgação sobre"
"123",NA,"INSTITUTO DE APOIO CANNABIS-ON","não encontrado","Rio de Janeiro","Rio de Janeiro","não encontrado","não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"124",NA,"PRIMEIRA ASSOCIACAO DE CANNABIS MEDICINAL DE CAMPO GRANDE","PACMCG","Rio de Janeiro","Rio de Janeiro","não encontrado","não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"125",NA,"ASSOCIACAO DE CANNABIS MEDICINAL DONA SANTA","Dona Santa","Rio de Janeiro","Rio de Janeiro","https://www.instagram.com/associacaodonasanta/?igsh=anFvN3BhYXU0N3V4#","https://www.donasanta.org.br/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"126",NA,"ASSOCIACAO CANNABIS PELA VIDA","CAPEV","Rio de Janeiro","Rio de Janeiro","https://www.instagram.com/acmpelavida/","acmpelavida.org.br (fora do ar)
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"127",NA,"ASSOCIACAO BRASILEIRA DE APOIO A CANNABIS TERAPEUTICA AGROECOLOGICA","ABACATE","Rio de Janeiro","Rio de Janeiro","não encontrado","não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"128",NA,"ASSOCIACAO DE MEDICOS E PACIENTES PARA PESQ E PRESCRICAO DE CANNABIS MEDICINAL","PRESCREVA","Rio de Janeiro","Rio de Janeiro","não encontrado","não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"129",NA,"ASSOCIACAO BIO ETICA DE PESQUISAS, ESTUDOS E TRATAMENTOS INTEGRADOS COM CANNABIS","ASSOCIACAO BIO ETICA","Rio de Janeiro","Rio de Janeiro","não encontrado","nao encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"130",NA,"DR HEMP ASSOCIACAO CANNABICA DO BRASIL","Dr. Hemp","Rio de Janeiro","Rio de Janeiro","não encontrado","http://drhemp.com.br/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Daniel",NA
"131",NA,"ASSOCIAÇÃO CANNABIS MEDICAL EVOLUTION","Cannabis Medical Evolution","Minas Gerais","Planura","https://www.instagram.com/cannabismedicalevolution?igsh=MXBmNzJnNXp0enMwdQ==","https://cannabismedicalevolution.com.br/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",NA,"ASSOCIAÇÃO DE PACIENTES DE CANNABIS MEDICINAL FLOR DA MANTIQUEIRA","Flor da Mantiqueira","Minas Gerais","Itajubá","https://www.instagram.com/aflordamantiqueira?igsh=MXBtYnA5Y2oxMzE3OQ==","não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",NA,"UNIDADE DE ATENDIMENTO INTEGRADO AOS PACIENTES DE CANNABIS","UAI HEMP","Minas Gerais","Lagoa Santa","https://www.instagram.com/uaihempbr?igsh=NnpvbzBuYmh5NTE3","não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",NA,"SALUS ASSOCIAÇÃO CANNABIS MEDICINAL","SACM","Minas Gerais","Uberlândia","https://www.instagram.com/salus_cannabidiol?igsh=aGU5dWhoMTZ1ZGxu","não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",NA,"2IMPAR ASSOCIAÇÃO CANNABIS MEDICINAL","2IMPAR","Minas Gerais","Belo Horizonte","https://www.instagram.com/2impar_associacao?igsh=ZXhiYzRta2k4OWFu","não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",NA,"ASSOCIACAO CANNABIS UBERLANDIA SEMEANDO A CONSCIENCIA","CANNUDI","Minas Gerais","Uberlândia","não encontrado","não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",NA,"SATIVA MEDICINAL","Sativa Medicinal","Minas Gerais","Belo Horizonte","https://www.instagram.com/institutosativamedicinal?igsh=cHZwb2YycnlyZzZy","não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",NA,"ASSOCIAÇÃO CANNABIS MEDICINAL DAS GERAIS","ACMG","Minas Gerais","Belo Horizonte","não encontrado","não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",NA,"IBCann - Instituto Bonverde Cannabis","não encontrado","São Paulo","Joanópolis","não encontrado","não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",NA,"Associacao medicinal pro-vida cannabis","Pró-Vida Cannabis","São Paulo","São Paulo","https://www.instagram.com/providacannabis/","https://www.providacannabis.com.br/?utm_source=ig&utm_medium=social&utm_content=link_in_bio&fbclid=PAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGn5A8yrOM5U6GD8D1Y3L3vga6UU5LMXBSnNQaqdiUai7PFH4H_9YSfZlYm7IU_aem_xfRCFDKcjKjoIz-ir2tpVw",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",NA,"Associação de Farmácias e Pacientes para Acesso de Medicamentos Manipulados Derivados da Cannabis","Farmacann","São Paulo","São Paulo","https://www.instagram.com/farmacannbr/","https://farmacann.org.br/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",NA,"Associaçãoo de Fitoterapia Cannábica","PhytoCann","São Paulo","Rio Claro","https://www.instagram.com/phyto.cann/","Não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",NA,"Instituto Cannábico Florativa","Florativa","São Paulo","Riberão Preto","Não encontado","https://www.florativa.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",NA,"Associação Brasileira de Cannabis Medicinal","ABCM","São Paulo","Ituverava","https://www.instagram.com/abcm.ofc/","Não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",NA,"Associacao Amazonida De Cannabis Medicinal","AMACANNABIS","Amazonas","Manaus","https://www.instagram.com/amacannabis/","Não encontrado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IPEA","Mariana","CNPJ: 49.978.425/0001-69"
